;Chuva(mm)
1985-01-31;5.696992360135001
1985-02-28;6.239395350134246
1985-03-31;6.126925675228416
1985-04-30;3.8929964158732604
1985-05-31;5.015949071331252
1985-06-30;2.444092388845405
1985-07-31;1.5874010519681994
1985-08-31;2.7935224412476316
1985-09-30;5.014623853549276
1985-10-31;4.14276088333049
1985-11-30;4.81022127459484
1985-12-31;5.373994764238346
1986-01-31;5.844134184089461
1986-02-28;6.045943596012513
1986-03-31;6.024896550739525
1986-04-30;4.740053053581973
1986-05-31;4.8360138388212714
1986-06-30;1.5740609166314434
1986-07-31;3.117555613369834
1986-08-31;3.0566994186898366
1986-09-30;3.255415035763216
1986-10-31;3.930033300893832
1986-11-30;6.235968522395561
1986-12-31;7.305519063967098
1987-01-31;8.071238747125337
1987-02-28;6.339667408838311
1987-03-31;5.443498686508775
1987-04-30;4.612003934577097
1987-05-31;6.647891618717495
1987-06-30;5.68670338639561
1987-07-31;2.276638114962505
1987-08-31;3.137999185135957
1987-09-30;4.312457116425768
1987-10-31;4.393378470055483
1987-11-30;4.173606213606516
1987-12-31;5.337973392481919
1988-01-31;6.452914173004253
1988-02-29;6.076790780976868
1988-03-31;5.740817100511777
1988-04-30;5.594509925574691
1988-05-31;6.08130079508672
1988-06-30;3.8841787267549064
1988-07-31;1.091392883061106
1988-08-31;0.5848035476425733
1988-09-30;3.050980603800597
1988-10-31;5.581700470507186
1988-11-30;4.64468116552924
1988-12-31;6.617583964540057
1989-01-31;6.788938185794413
1989-02-28;7.008832388287318
1989-03-31;6.605382814089544
1989-04-30;4.047353857509058
1989-05-31;2.789244452255099
1989-06-30;3.7444361936092534
1989-07-31;5.314473315368896
1989-08-31;3.2042911181482103
1989-09-30;3.7349022600700827
1989-10-31;4.3106639947569185
1989-11-30;4.4479601811386305
1989-12-31;6.185850493880645
1990-01-31;6.5739098560324765
1990-02-28;5.817663158074283
1990-03-31;6.768627104994251
1990-04-30;4.410580597248774
1990-05-31;4.270831978319353
1990-06-30;3.6987090699780314
1990-07-31;4.948811060232639
1990-08-31;4.241389718889868
1990-09-30;4.5978565943613185
1990-10-31;5.913575938711967
1990-11-30;4.881199651316333
1990-12-31;5.310930332108526
1991-01-31;6.915305937057141
1991-02-28;6.981584246982137
1991-03-31;8.053803996682317
1991-04-30;5.8509580333721996
1991-05-31;3.5115266233079305
1991-06-30;4.59154084933111
1991-07-31;3.043801799381843
1991-08-31;3.3412036251493125
1991-09-30;4.6631492769543526
1991-10-31;5.517848352762241
1991-11-30;4.067601087196606
1991-12-31;6.196286364350901
1992-01-31;5.055384251777622
1992-02-29;6.370206572249461
1992-03-31;6.088502934513033
1992-04-30;4.434440461933264
1992-05-31;4.538759841617426
1992-06-30;2.2637023919259014
1992-07-31;3.445411529428336
1992-08-31;2.9122745685636513
1992-09-30;5.320367811455299
1992-10-31;6.0331498440036935
1992-11-30;5.259378549952548
1992-12-31;5.959918020583117
1993-01-31;6.050499696904808
1993-02-28;6.088502934513033
1993-03-31;4.791419857062784
1993-04-30;4.389921837259379
1993-05-31;5.115956687355406
1993-06-30;4.211532928189197
1993-07-31;2.2373778841627936
1993-08-31;3.4426012414526315
1993-09-30;5.944865282719099
1993-10-31;5.118502573163697
1993-11-30;5.006657797478343
1993-12-31;5.545083978397727
1994-01-31;5.817663158074283
1994-02-28;5.691852523024773
1994-03-31;6.141100221235786
1994-04-30;4.811661460691251
1994-05-31;3.800646242815112
1994-06-30;3.124399884763122
1994-07-31;3.396998504483621
1994-08-31;1.338865900164339
1994-09-30;1.21644039911468
1994-10-31;5.284802792494708
1994-11-30;4.4242463099719265
1994-12-31;6.513188213736072
1995-01-31;7.203547634413682
1995-02-28;7.262799427360873
1995-03-31;6.444899117962598
1995-04-30;4.196444458755519
1995-05-31;4.303476546668851
1995-06-30;3.148121833262887
1995-07-31;3.603699899829132
1995-08-31;1.1447142425533319
1995-09-30;3.535689263795015
1995-10-31;5.873267936665703
1995-11-30;4.864353271750111
1995-12-31;6.17415533694011
1996-01-31;6.940308767167534
1996-02-29;7.220850057089375
1996-03-31;6.576993665494285
1996-04-30;3.484283271261855
1996-05-31;2.789244452255099
1996-06-30;3.5595260910209205
1996-07-31;2.3020775179631467
1996-08-31;3.4538150054698504
1996-09-30;5.639935616185703
1996-10-31;5.644124207117179
1996-11-30;4.437828118301934
1996-12-31;6.247945991708604
1997-01-31;6.171005792776717
1997-02-28;5.724588555698281
1997-03-31;3.850750401883127
1997-04-30;3.983263402579826
1997-05-31;4.451327298382971
1997-06-30;4.995996795726494
1997-07-31;2.320794416806389
1997-08-31;3.0652377295742124
1997-09-30;4.904868131524016
1997-10-31;5.3344615668679305
1997-11-30;6.182364033796513
1997-12-31;6.012935056973901
1998-01-31;6.141100221235786
1998-02-28;7.548427372991901
1998-03-31;5.955222211815309
1998-04-30;3.84624922840379
1998-05-31;5.114682793705294
1998-06-30;2.5509544037344103
1998-07-31;2.5509544037344103
1998-08-31;3.5700184909607784
1998-09-30;4.6338399229865574
1998-10-31;5.878095546875295
1998-11-30;3.4621777863135192
1998-12-31;5.832398943306846
1999-01-31;6.774587966209299
